word,score,postags
in,0.4704870557820835,"s, n, r"
on,0.8299094544059316,"a, r"
as,0.9698847052128984,"n, r"
not,1.049803919971486,r
by,1.0800837999301496,r
but,1.109572124974976,r
so,1.2201720062242811,"n, r"
all,1.2201720062242811,"s, a, r"
just,1.310247719997592,"s, a, r"
about,1.3403262785189616,"s, r"
up,1.3508339156354674,"s, a, v, r"
out,1.3597887582883936,"a, r, s, n, v"
more,1.3801645176601116,"a, n, r"
no,1.3897519816658372,"a, n, r"
there,1.4303698325741008,"n, r"
new,1.489579997691106,"s, a, r"
some,1.5413429130455774,"s, a, r"
also,1.5496683018297082,r
now,1.5610230527068305,"n, r"
good,1.6194260687941495,"s, a, n, r"
only,1.6194260687941495,"s, r"
after,1.6294102897007507,"s, r"
first,1.6294102897007507,"s, a, n, r"
over,1.6608187539523749,"s, n, r"
any,1.6718141382538385,"s, r"
then,1.6718141382538385,"s, n, r"
back,1.6986073148417746,"a, r, s, n, v"
well,1.7106162223147898,"a, r, s, n, v"
way,1.731399828238082,"n, r"
most,1.7399999999999995,"a, r"
very,1.7399999999999995,"s, r"
much,1.7399999999999995,"a, n, r"
even,1.7501054362812265,"a, r, s, n, v"
here,1.7701183562535,"s, n, r"
really,1.7701183562535,r
right,1.7800051616715835,"a, r, s, n, v"
too,1.7901222959631249,r
before,1.810070439915412,r
off,1.810070439915412,"s, a, v, r"
still,1.819876673709276,"a, r, s, n, v"
never,1.8299094544059316,r
down,1.8597582241045192,"a, r, s, n, v"
through,1.8701817920206716,"s, r"
last,1.880261433802853,"a, r, s, n, v"
such,1.899893905543242,"s, r"
best,1.899893905543242,"a, r, s, n, v"
home,1.929767482004916,"a, r, s, n, v"
long,1.929767482004916,"s, a, v, r"
part,1.9596826878598483,"r, n, v"
between,1.969884705212898,r
around,1.969884705212898,r
better,1.9803321553103697,"a, r, s, n, v"
always,1.9803321553103697,r
little,1.9902636844309385,"s, a, n, r"
high,1.9902636844309385,"s, a, n, r"
under,2.0100257143004443,"s, r"
next,2.0401622741327543,"s, r"
again,2.0401622741327543,r
each,2.0498039199714864,"s, r"
big,2.0697541469258756,"s, a, r"
sure,2.0697541469258756,"s, a, r"
ever,2.08008379993015,r
please,2.08008379993015,"v, r"
free,2.109572124974976,"a, r, s, n, v"
second,2.109572124974976,"a, r, s, n, v"
away,2.119863945026242,"s, a, r"
left,2.119863945026242,"a, r, s, n, v"
real,2.1401169279263117,"s, a, n, r"
however,2.160216403383189,r
today,2.189771646944906,"n, r"
nothing,2.189771646944906,"n, r"
already,2.189771646944906,r
enough,2.199670525209126,"s, n, r"
full,2.199670525209126,"a, r, s, n, v"
live,2.199670525209126,"s, a, v, r"
yet,2.199670525209126,r
once,2.2098003017969177,r
hard,2.2098003017969177,"s, a, r"
bad,2.2098003017969177,"s, a, n, r"
small,2.2294549897933873,"s, a, n, r"
though,2.240312917381596,r
far,2.240312917381596,"s, a, n, r"
actually,2.2500415205751647,r
less,2.2500415205751647,"s, a, r"
later,2.2500415205751647,"s, a, r"
together,2.2806075122407687,"s, r"
whole,2.2806075122407687,"s, a, n, r"
maybe,2.2897508916806384,r
course,2.3006673061697365,"r, n, v"
within,2.3006673061697365,r
least,2.3006673061697365,"a, n, r"
early,2.3102477199975917,"s, a, r"
ago,2.320044251510242,"s, r"
half,2.330066876668705,"s, a, n, r"
often,2.330066876668705,r
true,2.340326278518962,"a, r, s, n, v"
south,2.340326278518962,"a, n, r"
large,2.3508339156354676,"s, a, n, r"
wrong,2.3508339156354676,"a, r, s, n, v"
almost,2.3508339156354676,r
pretty,2.359788758288394,"s, r"
along,2.359788758288394,r
needs,2.370784142589857,"r, n, v"
yeah,2.370784142589857,r
probably,2.370784142589857,r
close,2.380164517660112,"a, r, s, n, v"
past,2.380164517660112,"s, a, n, r"
due,2.389751981665837,"s, a, n, r"
late,2.3995558851598817,"s, a, r"
north,2.3995558851598817,"a, n, r"
light,2.4095862266508092,"a, r, s, n, v"
short,2.4095862266508092,"a, r, s, n, v"
low,2.4095862266508092,"a, r, s, n, v"
either,2.4095862266508092,r
rather,2.419853713888945,r
third,2.419853713888945,"s, n, r"
soon,2.419853713888945,r
further,2.430369832574101,"s, v, r"
quite,2.449965388637481,r
